Country,Year,Production,Unit,Commodity,Source,iso3
Vietnam,1972,0.0,billion cubic metres,gas,Energy Institute Statistical Review,VNM
Canada,1973,71.4375,billion cubic metres,gas,Energy Institute Statistical Review,CAN
Mexico,1973,12.330594010841223,billion cubic metres,gas,Energy Institute Statistical Review,MEX
United States,1973,585.2223104143126,billion cubic metres,gas,Energy Institute Statistical Review,USA
Argentina,1973,6.548815,billion cubic metres,gas,Energy Institute Statistical Review,ARG
Bolivia,1973,1.7212400000000003,billion cubic metres,gas,Energy Institute Statistical Review,BOL
Brazil,1973,0.20072556637168137,billion cubic metres,gas,Energy Institute Statistical Review,BRA
Colombia,1973,1.6460000000000001,billion cubic metres,gas,Energy Institute Statistical Review,COL
Peru,1973,0.4466,billion cubic metres,gas,Energy Institute Statistical Review,PER
Trinidad and Tobago,1973,1.8498,billion cubic metres,gas,Energy Institute Statistical Review,TTO
Venezuela,1973,10.155390000000002,billion cubic metres,gas,Energy Institute Statistical Review,VEN
Denmark,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,DNK
Germany,1973,19.83745,billion cubic metres,gas,Energy Institute Statistical Review,DEU
Italy,1973,14.67525,billion cubic metres,gas,Energy Institute Statistical Review,ITA
Netherlands,1973,62.55555555555556,billion cubic metres,gas,Energy Institute Statistical Review,NLD
Norway,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,NOR
Poland,1973,5.664775000000001,billion cubic metres,gas,Energy Institute Statistical Review,POL
Romania,1973,25.163677400000005,billion cubic metres,gas,Energy Institute Statistical Review,ROU
Ukraine,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UKR
United Kingdom,1973,28.507456,billion cubic metres,gas,Energy Institute Statistical Review,GBR
Azerbaijan,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,AZE
Kazakhstan,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,KAZ
Russian Federation,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,RUS
Turkmenistan,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,TKM
Uzbekistan,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,UZB
Bahrain,1973,1.6770460000000003,billion cubic metres,gas,Energy Institute Statistical Review,BHR
Iran,1973,12.598126809473836,billion cubic metres,gas,Energy Institute Statistical Review,IRN
Iraq,1973,0.8644999999999999,billion cubic metres,gas,Energy Institute Statistical Review,IRQ
Israel,1973,0.05130416327206975,billion cubic metres,gas,Energy Institute Statistical Review,ISR
Kuwait,1973,2.6467,billion cubic metres,gas,Energy Institute Statistical Review,KWT
Oman,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,OMN
Qatar,1973,1.6353000000000002,billion cubic metres,gas,Energy Institute Statistical Review,QAT
Saudi Arabia,1973,1.7100000000000002,billion cubic metres,gas,Energy Institute Statistical Review,SAU
Syria,1973,0.0,billion cubic metres,gas,Energy Institute Statistical Review,SYR
United Arab Emirates,1973,1.6921125,billion cubic metres,gas,Energy Institute Statistical Review,ARE
Algeria,1973,4.321625,billion cubic metres,gas,Energy Institute Statistical Review,DZA
Egypt,1973,0.0548625,billion cubic metres,gas,Energy Institute Statistical Review,EGY
Libya,1973,4.30445,billion cubic metres,gas,Energy Institute Statistical Review,LBY
Nigeria,1973,0.4008999999999999,billion cubic metres,gas,Energy Institute Statistical Review,NGA
Australia,1973,4.706879992900001,billion cubic metres,gas,Energy Institute Statistical Review,AUS
Bangladesh,1973,0.6150375,billion cubic metres,gas,Energy Institute Statistical Review,BGD
